ITM_ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference;Supplier reference;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
9276997;1;Cubic - One Page Responsive WordPress Theme;WordPress,Creative;63;;48;0;;;;;9276997;;;;;;;;;;;100;1;;;;;"<p><a href=""http://www.theme4u.ru/prev.php?frm=http://demo.vegatheme.com/cubicmate&itm=9276997"" target=""_blank"">Demo</a></p><p>Sale:0</p><p>Columns: 4+</p><p>Browsers: IE9, IE10, IE11, Firefox, Safari, Opera, Chrome</p><p>Software: WordPress 4.0, WordPress 3.9, WordPress 3.8, WordPress 3.7</p><p>Compatible: WPML, Bootstrap 3.x</p><p>High Resolution: Yes</p><p>Layout: Responsive</p><p>Files Included: PHP Files, CSS Files, JS Files</p>";;agency, business, clean, corporate, creative, designer, flat, freelance, modern, one page, parallax, photography, portfolio;Theme4u шаблон для сайта Cubic - One Page Responsive WordPress Theme;WordPress,Creative;Cubic - One Page Responsive WordPress Theme - WordPress,Creative;;;Current supply. Ordering availlable;1;;;1;http://0.s3.envato.com/files/109931286/preview-1.__large_preview.png;0;;0;new;0;0;0;0;0;0;0;0
9226744;1;SECRET - Elegant & Minimal One-Page WordPress ;WordPress,Creative;58;;43;0;;;;;9226744;;;;;;;;;;;100;1;;;;;"<p><a href=""http://www.theme4u.ru/prev.php?frm=http://unbranded.co/wordpress/secret/&itm=9226744"" target=""_blank"">Demo</a></p><p>Sale:0</p><p>Columns: 4+</p><p>Browsers: IE9, IE10, IE11, Firefox, Safari, Opera, Chrome</p><p>Software: WordPress 4.0, WordPress 3.9</p><p>Compatible: Bootstrap 3.x</p><p>High Resolution: Yes</p><p>Layout: Responsive</p><p>Files Included: Layered PNG, PHP Files, HTML Files, CSS Files, JS Files</p>";;agency, clean, creative, design, elegant, minimal, modern, multipurpose, one page, parallax, photography, portfolio, seo;Theme4u шаблон для сайта SECRET - Elegant & Minimal One-Page WordPress ;WordPress,Creative;SECRET - Elegant & Minimal One-Page WordPress  - WordPress,Creative;;;Current supply. Ordering availlable;1;;;1;http://0.s3.envato.com/files/108695988/promo.__large_preview.__large_preview.png;0;;0;new;0;0;0;0;0;0;0;0
9031844;1;Taunita - Responsive Multi-Purpose Wordpress Theme;WordPress,Corporate;58;;43;0;;;;;9031844;;;;;;;;;;;100;1;;;;;"<p><a href=""http://www.theme4u.ru/prev.php?frm=http://www.themegoods.net/taunita/&itm=9031844"" target=""_blank"">Demo</a></p><p>Sale:1</p><p>Columns: 4+</p><p>Browsers: IE9, IE10, IE11, Firefox, Safari, Opera, Chrome</p><p>Software: WordPress 4.0, WordPress 3.9, WordPress 3.8, WordPress 3.7, WordPress 3.6, WordPress 3.5, WordPress 3.4</p><p>High Resolution: No</p><p>Layout: Responsive</p><p>Files Included: PHP Files, CSS Files, JS Files</p>";;business, clean, corporate, creative, design, modern, multi-purpose, portfolio, responsive, retina, seo, wordpress theme;Theme4u шаблон для сайта Taunita - Responsive Multi-Purpose Wordpress Theme;WordPress,Corporate;Taunita - Responsive Multi-Purpose Wordpress Theme - WordPress,Corporate;;;Current supply. Ordering availlable;1;;;1;http://0.s3.envato.com/files/109664719/Preview/00_preview.__large_preview.jpg;0;;0;new;0;0;0;0;0;0;0;0
9167043;1;Readme - A Readable WordPress Theme;WordPress,Blog Magazine,Personal;63;;48;0;;;;;9167043;;;;;;;;;;;100;1;;;;;"<p><a href=""http://www.theme4u.ru/prev.php?frm=http://themes.pixelwars.org/readme-wp/&itm=9167043"" target=""_blank"">Demo</a></p><p>Sale:4</p><p>Columns: 4+</p><p>Browsers: IE8, IE9, IE10, IE11, Firefox, Safari, Opera, Chrome</p><p>Software: WordPress 4.0, WordPress 3.9, WordPress 3.8, WordPress 3.7, WordPress 3.6, WordPress 3.5</p><p>High Resolution: Yes</p><p>Layout: Responsive</p><p>Files Included: PHP Files, CSS Files, JS Files</p>";;blogger, book, books, clean, creative, gallery, minimal, minimalist, personal, photo gallery, portfolio, post format, readability, white;Theme4u шаблон для сайта Readme - A Readable WordPress Theme;WordPress,Blog Magazine,Personal;Readme - A Readable WordPress Theme - WordPress,Blog Magazine,Personal;;;Current supply. Ordering availlable;1;;;1;http://0.s3.envato.com/files/109714801/readme-wp-screenshots-v.1-0/00.__large_preview.png;0;;0;new;0;0;0;0;0;0;0;0
9269875;1;Eda Wordpress Woocomerce Theme;WordPress,eCommerce,WooCommerce;73;;58;0;;;;;9269875;;;;;;;;;;;100;1;;;;;"<p><a href=""http://www.theme4u.ru/prev.php?frm=http://wp1.novademo.com/eda_select/&itm=9269875"" target=""_blank"">Demo</a></p><p>Sale:6</p><p>Browsers: IE10, IE11, Firefox, Safari, Opera, Chrome</p><p>Software: WordPress 4.0</p><p>Compatible: WooCommerce 2.2.x</p><p>High Resolution: Yes</p><p>Layout: Responsive</p><p>Files Included: PHP Files, HTML Files, CSS Files, JS Files</p>";;boxed, flat, fullwidth, mega menu, page builder, parallax, shop;Theme4u шаблон для сайта Eda Wordpress Woocomerce Theme;WordPress,eCommerce,WooCommerce;Eda Wordpress Woocomerce Theme - WordPress,eCommerce,WooCommerce;;;Current supply. Ordering availlable;1;;;1;http://0.s3.envato.com/files/109840886/01_preview.__large_preview.__large_preview.jpg;0;;0;new;0;0;0;0;0;0;0;0
9095594;1;Odyssey - Light Responsive WordPress Blog Theme;WordPress,Blog Magazine,Personal;58;;43;0;;;;;9095594;;;;;;;;;;;100;1;;;;;"<p><a href=""http://www.theme4u.ru/prev.php?frm=http://demo.sopkathemes.com/odyssey/&itm=9095594"" target=""_blank"">Demo</a></p><p>Sale:1</p><p>Columns: 4+</p><p>Browsers: IE9, IE10, IE11, Firefox, Safari, Opera, Chrome</p><p>Software: WordPress 4.0, WordPress 3.9</p><p>High Resolution: Yes</p><p>Layout: Responsive</p><p>Files Included: PHP Files, CSS Files, JS Files</p>";;blog, blogger, carousel, clean, creative, gallery, lifestyle, masonry, modern, offcanvas, personal, sidebar, simple;Theme4u шаблон для сайта Odyssey - Light Responsive WordPress Blog Theme;WordPress,Blog Magazine,Personal;Odyssey - Light Responsive WordPress Blog Theme - WordPress,Blog Magazine,Personal;;;Current supply. Ordering availlable;1;;;1;http://0.s3.envato.com/files/109543390/Theme%20Preview%20and%20admin%20screenshots/Screenshot_1.__large_preview.jpg;0;;0;new;0;0;0;0;0;0;0;0
8332937;1;Malibu - One Page Lounge Bar & Cafe Resto WP Theme;WordPress,Retail,Food;63;;48;0;;;;;8332937;;;;;;;;;;;100;1;;;;;"<p><a href=""http://www.theme4u.ru/prev.php?frm=http://www.themetonic.net/malibu/&itm=8332937"" target=""_blank"">Demo</a></p><p>Sale:4</p><p>Columns: 1</p><p>Browsers: IE9, IE10, IE11, Firefox, Safari, Opera, Chrome</p><p>Software: WordPress 3.9, WordPress 3.8, WordPress 3.7, WordPress 3.6</p><p>Layout: Responsive</p><p>Files Included: PHP Files, CSS Files, JS Files</p>";;bar, booking, cafe, clean, events, food, lounge, menu, mobile, one-page, parallax, responsive, restaurant, retina, touch;Theme4u шаблон для сайта Malibu - One Page Lounge Bar & Cafe Resto WP Theme;WordPress,Retail,Food;Malibu - One Page Lounge Bar & Cafe Resto WP Theme - WordPress,Retail,Food;;;Current supply. Ordering availlable;1;;;1;http://0.s3.envato.com/files/109514455/01_Preview.__large_preview.jpg;0;;0;new;0;0;0;0;0;0;0;0
8377608;1;Widemag - Wordpress Magazine Theme;WordPress,Blog Magazine,Personal;73;;58;0;;;;;8377608;;;;;;;;;;;100;1;;;;;"<p><a href=""http://www.theme4u.ru/prev.php?frm=http://widemag.benoon.com/&itm=8377608"" target=""_blank"">Demo</a></p><p>Sale:3</p><p>Columns: 4+</p><p>Browsers: IE8, IE9, IE10, IE11, Firefox, Safari, Opera, Chrome</p><p>Software: WordPress 4.0, WordPress 3.9, WordPress 3.8</p><p>Compatible: WooCommerce 2.2.x, WooCommerce 2.1.x, bbPress 2.5.x</p><p>Layout: Responsive</p><p>Files Included: PHP Files, CSS Files, JS Files</p>";;Daily News, blog, blog magazine, blog news, breaking news, clean, creative, design, lifestyle, magazine, modern, news, news magazine, sport news, unique;Theme4u шаблон для сайта Widemag - Wordpress Magazine Theme;WordPress,Blog Magazine,Personal;Widemag - Wordpress Magazine Theme - WordPress,Blog Magazine,Personal;;;Current supply. Ordering availlable;1;;;1;http://0.s3.envato.com/files/109769418/preview/01-preview.__large_preview.jpg;0;;0;new;0;0;0;0;0;0;0;0
9194603;1;MONOPOL - Lawyers & Business WordPress Theme;WordPress,Corporate,Business;63;;48;0;;;;;9194603;;;;;;;;;;;100;1;;;;;"<p><a href=""http://www.theme4u.ru/prev.php?frm=http://entiri.com/monopol_wp&itm=9194603"" target=""_blank"">Demo</a></p><p>Sale:1</p><p>Columns: 4+</p><p>Browsers: IE9, IE10, IE11, Firefox, Safari, Opera, Chrome</p><p>Software: WordPress 4.0</p><p>Compatible: WPML, Bootstrap 3.x</p><p>High Resolution: Yes</p><p>Layout: Responsive</p><p>Files Included: PHP Files, CSS Files, JS Files</p>";;accuser, advocate service, consulting, counsel, judge, justice, law, lawyer, lawyer service, legal adviser, legal agency, legal office, legal practitioner, legal service, solicitor;Theme4u шаблон для сайта MONOPOL - Lawyers & Business WordPress Theme;WordPress,Corporate,Business;MONOPOL - Lawyers & Business WordPress Theme - WordPress,Corporate,Business;;;Current supply. Ordering availlable;1;;;1;http://0.s3.envato.com/files/109734793/01_cover_monopol.__large_preview.jpg;0;;0;new;0;0;0;0;0;0;0;0
9015930;1;Amazing  Multi-Purpose WordPress Theme;WordPress,Creative,Portfolio;58;;43;0;;;;;9015930;;;;;;;;;;;100;1;;;;;"<p><a href=""http://www.theme4u.ru/prev.php?frm=http://thematicwebs.ca/demo/wp/amazingwp/&itm=9015930"" target=""_blank"">Demo</a></p><p>Sale:5</p><p>Columns: 4+</p><p>Browsers: IE8, IE9, IE10, IE11, Firefox, Safari, Opera, Chrome</p><p>Software: WordPress 4.0, WordPress 3.9, WordPress 3.8</p><p>High Resolution: Yes</p><p>Layout: Responsive</p><p>Files Included: PHP Files, CSS Files, JS Files</p>";;business, clean, corporate, creative, design, mobile, modern, multipage, multipurpose, onepage, personal, photography, portfolio, studio;Theme4u шаблон для сайта Amazing  Multi-Purpose WordPress Theme;WordPress,Creative,Portfolio;Amazing  Multi-Purpose WordPress Theme - WordPress,Creative,Portfolio;;;Current supply. Ordering availlable;1;;;1;http://0.s3.envato.com/files/109474054/00_preview.__large_preview.jpg;0;;0;new;0;0;0;0;0;0;0;0
