ITM_ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference;Supplier reference;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
9279848;1;Tini - News/Magazine Template with Online Shop;CMS Themes,Joomla,Blog Magazine;63;;48;0;;;;;9279848;;;;;;;;;;;100;1;;;;;"<p><a href=""http://www.theme4u.ru/prev.php?frm=http://demo.smartaddons.com/templates/joomla3/sj-tini/&itm=9279848"" target=""_blank"">Demo</a></p><p>Sale:0</p><p>Columns: 4+</p><p>Browsers: IE9, IE10, IE11, Firefox, Safari, Opera, Chrome</p><p>Software: Joomla 3.3.x, Joomla 3.2.x, Joomla 3.1.x, Joomla 3.0.3, Joomla 3.0.2</p><p>Compatible: Bootstrap 3.x</p><p>High Resolution: Yes</p><p>Layout: Responsive</p><p>Files Included: PHP Files, CSS Files, JS Files</p>";;K2, entertainment, fahion store, k2store, magazine, news, news/magazine template, online shop, shopping cart;Theme4u шаблон для сайта Tini - News/Magazine Template with Online Shop;CMS Themes,Joomla,Blog Magazine;Tini - News/Magazine Template with Online Shop - CMS Themes,Joomla,Blog Magazine;;;Current supply. Ordering availlable;1;;;1;http://0.s3.envato.com/files/109341860/01_590x300.__large_preview.png;0;;0;new;0;0;0;0;0;0;0;0
9299840;1;Bed&Breakfast Responsive Single Page Drupal theme;CMS Themes,Drupal,Retail,Travel;58;;43;0;;;;;9299840;;;;;;;;;;;100;1;;;;;"<p><a href=""http://www.theme4u.ru/prev.php?frm=http://bedbreakfast.drupal.gobtan.com&itm=9299840"" target=""_blank"">Demo</a></p><p>Sale:0</p><p>Columns: 1</p><p>Browsers: IE8, IE9, IE10, IE11, Firefox, Safari, Opera, Chrome</p><p>Software: Drupal 7.3.x</p><p>High Resolution: No</p><p>Layout: Responsive</p><p>Files Included: PHP Files, CSS Files, JS Files</p>";;accommodation, bed and breakfast, bed&breakfast, clean code, datepicker, fullscreen, hotel, motel, rooms availability, single page;Theme4u шаблон для сайта Bed&Breakfast Responsive Single Page Drupal theme;CMS Themes,Drupal,Retail,Travel;Bed&Breakfast Responsive Single Page Drupal theme - CMS Themes,Drupal,Retail,Travel;;;Current supply. Ordering availlable;1;;;1;http://0.s3.envato.com/files/110208944/preview.__large_preview.jpg;0;;0;new;0;0;0;0;0;0;0;0
9329514;1;HelpDesk - Ticket Support & Knowledge Drupal Theme;CMS Themes,Drupal,Corporate,Business;63;;48;0;;;;;9329514;;;;;;;;;;;100;1;;;;;"<p><a href=""http://www.theme4u.ru/prev.php?frm=http://demo.symphonythemes.com/drupal7/helpdesk&itm=9329514"" target=""_blank"">Demo</a></p><p>Sale:4</p><p>Browsers: IE9, IE10, IE11, Firefox, Safari, Opera, Chrome</p><p>Software: Drupal 7.3.x</p><p>Compatible: Bootstrap 3.x</p><p>Layout: Responsive</p><p>Files Included: PHP Files, HTML Files, CSS Files, JS Files</p>";;customer, helpdesk, service, support, ticket;Theme4u шаблон для сайта HelpDesk - Ticket Support & Knowledge Drupal Theme;CMS Themes,Drupal,Corporate,Business;HelpDesk - Ticket Support & Knowledge Drupal Theme - CMS Themes,Drupal,Corporate,Business;;;Current supply. Ordering availlable;1;;;1;http://0.s3.envato.com/files/110449452/helpdesk_screenshot2.__large_preview.jpg;0;;0;new;0;0;0;0;0;0;0;0
9286902;1;Maya - Smart & Powerful Joomla Theme;CMS Themes,Joomla,Creative;63;;48;0;;;;;9286902;;;;;;;;;;;100;1;;;;;"<p><a href=""http://www.theme4u.ru/prev.php?frm=http://demo.cmsbluetheme.com/maya&itm=9286902"" target=""_blank"">Demo</a></p><p>Sale:6</p><p>Columns: 4+</p><p>Browsers: IE10, IE11, Firefox, Safari, Opera, Chrome</p><p>Software: Joomla 3.3.x, Joomla 3.2.x, Joomla 3.1.x, Joomla 3.0.3, Joomla 3.0.2</p><p>High Resolution: Yes</p><p>Layout: Responsive</p><p>Files Included: PHP Files, HTML Files, CSS Files, JS Files</p>";;business, creative, environment, food, games, interior design, joomla, lifestyle, mobile, modern, multipage, multipurpose, onepage, wedding;Theme4u шаблон для сайта Maya - Smart & Powerful Joomla Theme;CMS Themes,Joomla,Creative;Maya - Smart & Powerful Joomla Theme - CMS Themes,Joomla,Creative;;;Current supply. Ordering availlable;1;;;1;http://0.s3.envato.com/files/109409837/preview.__large_preview.png;0;;0;new;0;0;0;0;0;0;0;0
9276982;1;SIM - One Page Parallax Joomla Template;CMS Themes,Joomla,Creative;63;;48;0;;;;;9276982;;;;;;;;;;;100;1;;;;;"<p><a href=""http://www.theme4u.ru/prev.php?frm=http://sunnytheme.com/joomla/demo_sim/&itm=9276982"" target=""_blank"">Demo</a></p><p>Sale:2</p><p>Columns: 1</p><p>Browsers: IE9, IE10, IE11, Firefox, Safari, Opera, Chrome</p><p>Software: Joomla 3.3.x</p><p>Compatible: JomSocial 3.2.x</p><p>High Resolution: Yes</p><p>Layout: Fixed</p><p>Files Included: Layered PNG, Layered PSD, PHP Files, HTML Files, CSS Files, JS Files, PSD</p>";;Design Creative, Paralax, black, business, coporate, joomla, onepage, portfolio, psd, responsive, sim, white;Theme4u шаблон для сайта SIM - One Page Parallax Joomla Template;CMS Themes,Joomla,Creative;SIM - One Page Parallax Joomla Template - CMS Themes,Joomla,Creative;;;Current supply. Ordering availlable;1;;;1;http://0.s3.envato.com/files/109290207/Preview/01_Preview.__large_preview.jpg;0;;0;new;0;0;0;0;0;0;0;0
9211962;1;Yunik - Responsive Multipurpose Drupal 7 Theme;CMS Themes,Drupal;63;;48;0;;;;;9211962;;;;;;;;;;;100;1;;;;;"<p><a href=""http://www.theme4u.ru/prev.php?frm=http://yunik.inspiro-themes.com/yunik-intro/&itm=9211962"" target=""_blank"">Demo</a></p><p>Sale:1</p><p>Columns: 4+</p><p>Browsers: IE9, IE10, IE11, Firefox, Safari, Opera, Chrome</p><p>Software: Drupal 7.3.x, Drupal 7.2.x, Drupal 7.1, Drupal 7.0, Other</p><p>Compatible: Bootstrap 3.x</p><p>High Resolution: Yes</p><p>Layout: Responsive</p><p>Files Included: PHP Files, CSS Files, JS Files</p>";;best, bootstrap, business, clean, corporate, drupal, full screen, gallery, modern, one page, parallax, photography, portfolio;Theme4u шаблон для сайта Yunik - Responsive Multipurpose Drupal 7 Theme;CMS Themes,Drupal;Yunik - Responsive Multipurpose Drupal 7 Theme - CMS Themes,Drupal;;;Current supply. Ordering availlable;1;;;1;http://0.s3.envato.com/files/108525561/preview.__large_preview.png;0;;0;new;0;0;0;0;0;0;0;0
9214814;1;Jawda - Responsive Multipurpose Joomla Theme;CMS Themes,Joomla,Creative;63;;48;0;;;;;9214814;;;;;;;;;;;100;1;;;;;"<p><a href=""http://www.theme4u.ru/prev.php?frm=http://lexusdesign.net/themeforest/jawda/&itm=9214814"" target=""_blank"">Demo</a></p><p>Sale:1</p><p>Columns: 4+</p><p>Browsers: IE8, IE9, IE10, IE11, Firefox, Safari, Opera, Chrome</p><p>Software: Joomla 3.3.x, Joomla 3.2.x, Joomla 3.1.x, Joomla 3.0.3, Joomla 3.0.2</p><p>Compatible: Bootstrap 2.3.x, Bootstrap 2.2.2, Bootstrap 2.2.1, Bootstrap 2.1.1, Bootstrap 2.1.0, Bootstrap 2.0.4, Bootstrap 2.0.3, Bootstrap 2.0.2, Bootstrap 2.0.1, Bootstrap 2.0</p><p>High Resolution: No</p><p>Layout: Responsive</p><p>Files Included: PHP Files, HTML Files, CSS Files, JS Files</p>";;bootstrap, corporate, full screen slider, joomla, one page, parallax, portfolio joomla template, responsive, smooth scrolling, sortable multiple portfolio, unlimited color;Theme4u шаблон для сайта Jawda - Responsive Multipurpose Joomla Theme;CMS Themes,Joomla,Creative;Jawda - Responsive Multipurpose Joomla Theme - CMS Themes,Joomla,Creative;;;Current supply. Ordering availlable;1;;;1;http://0.s3.envato.com/files/109380079/preview.__large_preview.jpg;0;;0;new;0;0;0;0;0;0;0;0
9243905;1;Hoxa - Responsive Multipurpose Joomla Template;CMS Themes,Joomla,Corporate;63;;48;0;;;;;9243905;;;;;;;;;;;100;1;;;;;"<p><a href=""http://www.theme4u.ru/prev.php?frm=http://demo.cththemes.com/hoxa-landing/&itm=9243905"" target=""_blank"">Demo</a></p><p>Sale:64</p><p>Columns: 1</p><p>Browsers: IE9, IE10, IE11, Firefox, Safari, Opera, Chrome</p><p>Software: Joomla 3.3.x, Joomla 3.2.x, Joomla 3.1.x, Joomla 3.0.3, Joomla 3.0.2</p><p>Compatible: Bootstrap 3.x</p><p>High Resolution: Yes</p><p>Layout: Responsive</p><p>Files Included: PHP Files, CSS Files, JS Files</p>";;agency template, boxed, business, corporate, joomla template, portfolio, single page;Theme4u шаблон для сайта Hoxa - Responsive Multipurpose Joomla Template;CMS Themes,Joomla,Corporate;Hoxa - Responsive Multipurpose Joomla Template - CMS Themes,Joomla,Corporate;;;Current supply. Ordering availlable;1;;;1;http://0.s3.envato.com/files/108943287/screenshots/00.__large_preview.jpg;0;;0;new;0;0;0;0;0;0;0;0
9219693;1;Wisten - One Page Parallax Joomla Template;CMS Themes,Joomla,Creative;58;;43;0;;;;;9219693;;;;;;;;;;;100;1;;;;;"<p><a href=""http://www.theme4u.ru/prev.php?frm=http://webpentagon.com/demo/themeforest/joomla/wisten_demo/&itm=9219693"" target=""_blank"">Demo</a></p><p>Sale:26</p><p>Browsers: IE9, IE10, IE11, Firefox, Safari, Opera, Chrome</p><p>Software: Joomla 3.3.x</p><p>Compatible: Bootstrap 3.x</p><p>High Resolution: Yes</p><p>Layout: Responsive</p><p>Files Included: PHP Files, CSS Files, JS Files</p>";;blog, clean, creative, one page, parallax, portfolio, responsive, single page;Theme4u шаблон для сайта Wisten - One Page Parallax Joomla Template;CMS Themes,Joomla,Creative;Wisten - One Page Parallax Joomla Template - CMS Themes,Joomla,Creative;;;Current supply. Ordering availlable;1;;;1;http://0.s3.envato.com/files/108625186/01_preview.__large_preview.jpg;0;;0;new;0;0;0;0;0;0;0;0
9220037;1;AV Studio - Responsive One Page Joomla Template;CMS Themes,Joomla,Creative;58;;43;0;;;;;9220037;;;;;;;;;;;100;1;;;;;"<p><a href=""http://www.theme4u.ru/prev.php?frm=http://www.finsstudio.com/demo/avstudio/&itm=9220037"" target=""_blank"">Demo</a></p><p>Sale:1</p><p>Columns: 4+</p><p>Browsers: IE8, IE9, IE10, IE11, Firefox, Safari, Opera, Chrome</p><p>Software: Joomla 3.3.x</p><p>Compatible: Bootstrap 3.x</p><p>High Resolution: Yes</p><p>Layout: Responsive</p><p>Files Included: PHP Files, CSS Files, JS Files</p>";;agency, architectural, building, business, colorful theme, company, corporate, creative, design, layout, mobile, one page;Theme4u шаблон для сайта AV Studio - Responsive One Page Joomla Template;CMS Themes,Joomla,Creative;AV Studio - Responsive One Page Joomla Template - CMS Themes,Joomla,Creative;;;Current supply. Ordering availlable;1;;;1;http://0.s3.envato.com/files/108628302/Preview-Image.__large_preview.jpg;0;;0;new;0;0;0;0;0;0;0;0
